TFname	JASPAR.ID	GC.Content	Zscore	FisherLogScore
AP1	MA0099.3	0.428307881520959	24.889	13.665
ARID3A	MA0151.1	0.0617283950617284	-7.080	1.091
Ap2a	00000	0.686292918454936	10.322	3.391
Ap2g	00000	0.6844	10.997	4.203
Ar	MA0007.1	0.498106060606061	15.317	3.436
Arnt::Ahr	MA0006.1	0.715277777777778	13.037	4.935
Arnt	MA0004.1	0.641666666666667	12.928	8.598
Atf3	MA0462.1	0.619471947194719	22.209	11.010
BHLHE40	MA0466.1	0.613452106896207	7.690	3.132
BRCA1	MA0133.2	0.607407407407407	17.933	4.405
Batf	MA0463.1	0.366848205557883	27.093	13.056
Bcl11a	MA0464.1	0.446163765312701	-45.497	0.000
CEBPA	MA0102.2	0.358024691358025	82.505	111.071
CEBPB	MA0468.1	0.402785714285714	129.525	173.331
CREB1	MA0018.2	0.522727272727273	14.848	7.243
CTCFL	MA0471.1	0.77043116402728	48.072	22.221
CTCF	MA0139.1	0.644829578278452	59.450	31.140
Ddit3::Cebpa	MA0019.1	0.482905982905983	16.369	7.838
E2f1	00000	0.750278993905056	-1.525	0.206
E2f4	00000	0.62825	16.189	5.979
E2f6	00000	0.680222841225627	-17.344	0.002
EBF1	MA0154.2	0.652181152181152	-19.656	0.003
ELF5	MA0136.1	0.429292929292929	-38.851	0.000
ELK1	MA0028.1	0.567857142857143	4.726	1.303
ELK4	MA0076.2	0.643153846153846	28.364	13.916
ESR1	MA0112.2	0.594294770206022	17.379	3.895
ESR2	MA0258.1	0.546062869592281	27.219	10.788
EWSR1-FLI1	MA0149.1	0.554497354497354	-17.733	0.000
Egr1	MA0162.2	0.785355348169419	10.733	5.890
Esrra	MA0474.1	0.563824289405685	166.318	351.886
Esrrb	MA0141.2	0.523904200374789	155.922	322.895
Ets1	00000	0.585069444444444	-21.599	0.000
Evi1	MA0029.1	0.28042328042328	-2.304	0.357
FEV	MA0156.1	0.442307692307692	-9.581	0.034
FOSL1	MA0475.1	0.486496317177412	3.413	0.916
FOXA1	MA0148.2	0.33211419282739	158.239	270.810
FOXD1	MA0031.1	0.275	91.369	149.517
FOXF2	MA0030.1	0.334224598930481	68.175	50.158
FOXI1	MA0042.1	0.263440860215054	56.404	50.863
FOXL1	MA0033.1	0.244565217391304	-8.412	0.679
FOXO3	MA0157.1	0.298076923076923	67.989	100.629
Fosl2	MA0476.1	0.460750211525806	15.917	6.807
Foxa2	MA0047.2	0.314948453608247	187.137	335.000
Foxd3	MA0041.1	0.223404255319149	51.422	40.778
Foxq1	MA0040.1	0.202020202020202	34.771	24.178
GABPA	MA0062.3	0.632964453386989	22.193	8.982
GATA2	MA0036.2	0.3768	-30.081	0.000
GATA3	MA0037.2	0.332938856015779	-3.789	0.382
Gata1	MA0035.3	0.402540254025403	-46.638	0.000
Gfi	MA0038.1	0.390566037735849	-6.024	0.573
HIF1A::ARNT	MA0259.1	0.657451923076923	1.859	1.394
HLF	MA0043.1	0.393518518518519	109.566	120.720
HNF1A	MA0046.1	0.258503401360544	82.296	53.397
HNF1B	MA0153.1	0.222222222222222	56.289	38.189
HNF4A	MA0114.2	0.49125	641.134	inf
HOXA5	MA0158.1	0.31496062992126	-6.885	0.528
Hand1::Tcfe2a	MA0092.1	0.506896551724138	-11.980	0.008
Hnf4g	MA0481.1	0.493762504413322	884.187	inf
Hsf1	MA0482.1	0.463777704267284	-15.552	0.003
INSM1	MA0155.1	0.666666666666667	2.617	1.204
